ID_cliente	Data_Compra	Quantia_Compra	Canal_Compra	Categoria_Produto
3387	2013-04-14	166.87	Marketplace	Beleza
2887	2013-06-11	1485.46	Marketplace	Eletrônicos
2978	2015-07-05	1084.97	Loja Física	Eletrônicos
1428	2013-03-15	10399.58	App	Esporte
1972	2015-07-24	477.66	Loja Física	Vestuário
2952	2014-11-11	1768.42	Marketplace	Livros
2293	2015-07-16	60.79	Site	Eletrônicos
1173	2014-08-21	88.94	Loja Física	Eletrônicos
3119	2015-10-06	113.2	Marketplace	Eletrônicos
857	2014-02-06	80.64	Marketplace	Vestuário
1606	2014-01-26	223.53	Marketplace	Eletrônicos
3228	2013-09-10	238.48	Site	Beleza
25	2013-04-10	1749.03	Marketplace	Esporte
2753	2013-12-29	216.79	Site	Eletrônicos
1363	2014-10-22	276.85	Site	Casa e Decoração
1412	2014-12-04	146.02	Site	Vestuário
1464	2015-11-16	55.35	App	Livros
2589	2014-03-22	84.24	App	Livros
1188	2013-09-29	491.6	Site	Esporte
1889	2014-10-23	221.8	Marketplace	Esporte
2008	2015-05-05	353.41	App	Beleza
2850	2015-12-07	29.37	Loja Física	Livros
201	2014-07-01	2300.52	App	Livros
850	2013-05-08	216.46	Loja Física	Casa e Decoração
2873	2013-07-29	1925.1	Site	Livros
2269	2015-03-08	865.27	App	Livros
2320	2015-02-21	134.64	App	Esporte
196	2014-05-30	141.39	Marketplace	Vestuário
3173	2015-01-24	233.88	Site	Livros
3364	2014-08-26	75.59	Loja Física	Vestuário
3356	2015-11-19	103.71	App	Esporte
901	2013-11-26	1835.16	App	Beleza
2491	2013-11-14	311.83	Loja Física	Livros
2158	2014-09-09	162.45	App	Eletrônicos
2758	2014-10-13	171.86	Loja Física	Esporte
547	2015-04-07	457.45	Site	Livros
1122	2015-01-09	1022.01	Marketplace	Esporte
2898	2013-01-19	521.22	Site	Livros
2148	2014-05-15	481.5	App	Beleza
3192	2013-08-21	223.64	App	Eletrônicos
3171	2015-02-07	84.43	Marketplace	Eletrônicos
994	2014-01-30	58.24	Loja Física	Vestuário
3400	2015-12-29	31.98	Site	Livros
1496	2013-08-01	142.51	Marketplace	Livros
2885	2013-05-28	231.66	Marketplace	Livros
1122	2013-06-29	405.09	App	Esporte
232	2014-04-12	137.98	Marketplace	Livros
1430	2014-10-10	17.28	Loja Física	Livros
2520	2013-05-10	234.11	Loja Física	Casa e Decoração
3236	2013-08-06	1011.54	Loja Física	Casa e Decoração
2689	2015-06-16	132.98	Loja Física	Beleza
541	2014-03-27	66.82	App	Livros
485	2015-02-04	480.83	Site	Eletrônicos
150	2015-03-19	87.52	App	Vestuário
2627	2014-12-06	792.86	Site	Vestuário
641	2014-06-02	744.11	Loja Física	Esporte
1620	2013-05-30	1013.83	Loja Física	Vestuário
2545	2015-09-25	2864.31	Site	Eletrônicos
953	2013-05-23	2720.33	Marketplace	Casa e Decoração
2160	2014-09-19	362.06	App	Casa e Decoração
3349	2013-12-12	52.17	Site	Livros
2602	2015-06-13	974.7	App	Beleza
1630	2015-01-05	239.19	Loja Física	Vestuário
2263	2013-06-17	257.28	Site	Esporte
678	2013-06-06	377.34	Loja Física	Esporte
2029	2014-03-12	274.7	Marketplace	Livros
2728	2015-01-20	1299.0	App	Vestuário
1635	2015-11-12	453.55	Loja Física	Livros
816	2013-12-06	117.22	Site	Vestuário
1990	2013-10-27	381.16	App	Eletrônicos
754	2015-09-26	46.29	Site	Eletrônicos
2329	2015-11-27	2741.63	Marketplace	Beleza
3078	2013-03-23	491.27	App	Livros
896	2013-12-23	65.85	Loja Física	Esporte
853	2014-04-02	84.71	App	Beleza
2782	2013-01-14	82.75	Site	Vestuário
256	2014-07-30	792.25	App	Esporte
2513	2013-08-31	347.5	App	Livros
357	2015-09-08	1541.26	Marketplace	Eletrônicos
831	2013-09-19	308.07	Loja Física	Esporte
495	2013-12-07	49.87	Marketplace	Esporte
3384	2013-02-08	267.2	App	Eletrônicos
747	2015-08-24	264.17	Marketplace	Esporte
480	2014-01-08	198.27	Site	Livros
2400	2015-07-18	191.06	Marketplace	Beleza
442	2013-02-03	766.58	Marketplace	Vestuário
2117	2013-12-30	158.48	Loja Física	Esporte
1775	2013-08-29	91.94	Loja Física	Livros
2272	2015-12-06	239.31	Marketplace	Vestuário
3265	2015-09-15	405.3	Loja Física	Beleza
444	2015-09-05	2344.4	Loja Física	Casa e Decoração
2091	2015-04-17	99.61	Loja Física	Esporte
1830	2015-12-01	220.14	App	Beleza
1264	2013-11-13	241.73	App	Esporte
1495	2015-01-19	1913.27	Marketplace	Vestuário
1467	2015-09-16	130.42	Marketplace	Casa e Decoração
3465	2014-12-07	2367.74	Site	Livros
381	2014-04-16	150.58	Site	Eletrônicos
742	2015-04-01	403.74	Loja Física	Vestuário
1370	2013-01-11	411.97	Marketplace	Esporte
1535	2013-05-12	168.39	Loja Física	Livros
1354	2015-04-01	195.77	Loja Física	Vestuário
2241	2015-06-19	54.82	App	Vestuário
116	2015-11-12	282.12	Site	Livros
128	2014-05-05	344.76	Loja Física	Casa e Decoração
2746	2014-12-25	351.35	Site	Esporte
61	2013-05-21	2773.7	App	Casa e Decoração
3359	2014-07-21	91.1	Marketplace	Beleza
2020	2014-06-19	77.26	Loja Física	Esporte
983	2013-08-28	123.4	App	Livros
1562	2015-02-12	182.06	App	Beleza
2384	2013-02-26	160.13	Marketplace	Livros
2773	2014-03-28	2095.36	App	Beleza
3333	2015-11-24	87.31	App	Vestuário
960	2015-03-29	211.9	Loja Física	Esporte
3241	2015-09-03	191.24	App	Vestuário
3296	2014-01-25	274.55	Site	Casa e Decoração
722	2014-02-20	2537.83	App	Vestuário
2742	2013-09-03	278.45	Marketplace	Esporte
30	2013-03-28	258.96	App	Beleza
3120	2014-07-17	270.86	App	Beleza
766	2013-09-20	74.37	Marketplace	Esporte
115	2014-12-13	227.17	Site	Beleza
3419	2015-11-28	1488.2	Loja Física	Livros
726	2013-07-26	1111.22	App	Vestuário
1928	2014-05-01	102.74	App	Casa e Decoração
641	2015-05-19	789.49	App	Casa e Decoração
2971	2014-07-27	1462.04	Site	Eletrônicos
2522	2014-04-28	179.94	Site	Vestuário
2817	2013-11-03	1524.36	Marketplace	Beleza
444	2015-11-25	1695.15	Marketplace	Casa e Decoração
851	2013-04-08	229.28	Loja Física	Vestuário
2873	2015-09-03	2549.12	App	Casa e Decoração
1255	2014-06-12	204.86	App	Livros
3358	2014-02-12	92.88	Site	Casa e Decoração
1232	2015-11-12	161.62	Loja Física	Beleza
2148	2015-08-08	334.27	Site	Livros
2848	2014-11-22	143.89	Marketplace	Eletrônicos
260	2014-12-05	152.7	App	Livros
904	2015-03-21	103.24	App	Livros
2053	2015-07-12	1359.17	Loja Física	Vestuário
2553	2014-05-31	283.92	Loja Física	Vestuário
568	2013-07-30	467.55	Marketplace	Esporte
196	2015-03-25	285.79	Loja Física	Casa e Decoração
2166	2013-06-22	344.67	App	Vestuário
843	2014-08-05	149.65	Site	Eletrônicos
122	2015-01-01	131.15	Marketplace	Beleza
3415	2014-07-12	178.11	Site	Esporte
2088	2015-06-10	171.33	App	Casa e Decoração
1698	2014-04-11	123.64	App	Beleza
878	2014-09-14	54.75	Site	Casa e Decoração
956	2013-01-18	215.7	Marketplace	Casa e Decoração
36	2015-06-01	245.45	Loja Física	Esporte
1311	2015-04-24	134.09	Site	Vestuário
2502	2015-03-10	253.68	Loja Física	Beleza
2186	2015-11-25	394.04	App	Casa e Decoração
2269	2015-12-26	2464.66	Loja Física	Vestuário
451	2013-08-15	336.6	App	Livros
2176	2014-01-20	1097.8	Loja Física	Vestuário
3405	2014-08-01	171.14	Loja Física	Vestuário
300	2013-01-31	272.11	App	Beleza
3495	2015-08-08	218.17	Loja Física	Vestuário
199	2015-03-15	399.88	Site	Casa e Decoração
2887	2013-01-26	541.49	Site	Beleza
2715	2015-06-27	161.22	Site	Beleza
2585	2013-07-12	1659.19	Marketplace	Beleza
2383	2014-10-02	282.78	Loja Física	Livros
3260	2015-12-03	31.49	App	Vestuário
1255	2013-04-17	438.65	Loja Física	Vestuário
2204	2014-10-27	242.19	Loja Física	Beleza
2773	2013-01-19	2912.74	Marketplace	Livros
2080	2015-01-31	396.86	Marketplace	Eletrônicos
2401	2014-11-25	281.33	Loja Física	Eletrônicos
1234	2013-11-12	365.6	Site	Beleza
793	2014-12-13	412.49	Site	Eletrônicos
2419	2015-01-04	2228.32	Loja Física	Beleza
2488	2014-08-27	1719.66	Site	Esporte
1199	2015-08-18	173.9	Site	Eletrônicos
1845	2015-07-10	183.05	App	Beleza
5	2015-11-03	132.34	Loja Física	Esporte
2978	2014-05-05	1097.94	Marketplace	Vestuário
1833	2015-10-16	394.58	App	Casa e Decoração
1456	2014-10-22	509.3	Loja Física	Eletrônicos
2933	2013-09-23	39.12	Loja Física	Beleza
663	2013-03-07	1798.83	Marketplace	Esporte
2179	2014-06-09	43.25	Loja Física	Eletrônicos
3238	2014-03-04	345.09	Loja Física	Beleza
2821	2013-05-05	127.45	Marketplace	Casa e Decoração
2792	2013-04-30	252.38	Loja Física	Livros
231	2014-09-15	25.52	Loja Física	Eletrônicos
2545	2015-12-25	1278.93	Site	Esporte
2186	2014-01-02	301.29	Loja Física	Livros
2026	2015-07-29	366.15	Loja Física	Vestuário
2781	2015-04-03	1613.14	Marketplace	Casa e Decoração
3141	2014-10-27	430.18	Marketplace	Livros
1097	2014-05-08	182.05	App	Casa e Decoração
3355	2015-07-06	2576.65	App	Esporte
63	2013-10-04	298.22	App	Vestuário
742	2014-10-07	59.77	App	Esporte
1802	2013-11-13	55.46	Site	Vestuário
901	2014-05-27	852.38	Loja Física	Esporte
1419	2014-03-22	2255.94	Marketplace	Vestuário
1720	2013-07-15	190.71	Marketplace	Eletrônicos
2746	2014-11-16	206.57	Marketplace	Eletrônicos
3021	2014-04-10	386.46	Loja Física	Livros
2734	2015-02-23	22.31	App	Esporte
1983	2014-11-01	165.65	Loja Física	Livros
2572	2015-03-16	2918.91	Loja Física	Vestuário
1524	2015-03-19	34.98	Marketplace	Esporte
2621	2015-03-29	935.16	Marketplace	Livros
436	2013-10-04	79.92	Marketplace	Livros
2009	2015-12-10	96.49	Marketplace	Casa e Decoração
2396	2013-07-03	60.38	App	Casa e Decoração
663	2014-12-07	1862.86	App	Vestuário
3463	2015-06-25	198.26	Site	Vestuário
2399	2013-11-16	234.59	Loja Física	Livros
197	2013-10-30	264.56	Loja Física	Casa e Decoração
2436	2013-08-16	56.19	App	Vestuário
2602	2014-03-10	770.64	App	Esporte
1706	2013-10-17	2146.2	Marketplace	Esporte
3151	2015-12-15	321.75	App	Vestuário
2773	2014-07-10	348.64	Loja Física	Eletrônicos
1367	2014-07-10	348.34	App	Eletrônicos
73	2015-03-03	154.03	Loja Física	Casa e Decoração
1710	2015-12-25	53.77	Marketplace	Esporte
3227	2013-02-14	20.37	App	Casa e Decoração
1724	2013-11-18	251.44	App	Livros
1004	2015-10-24	972.46	App	Beleza
3098	2013-03-02	2843.58	Site	Vestuário
1176	2015-03-16	207.37	Marketplace	Esporte
3352	2014-04-11	237.8	Marketplace	Casa e Decoração
3168	2014-11-06	75.64	Site	Esporte
1885	2014-02-19	131.45	Site	Beleza
3489	2013-10-25	207.18	Site	Casa e Decoração
226	2015-12-28	286.12	App	Vestuário
2551	2014-10-15	446.06	Marketplace	Casa e Decoração
1565	2014-07-15	625.48	Site	Vestuário
97	2014-07-01	1895.69	Site	Vestuário
2410	2015-01-06	51.46	Site	Esporte
2955	2015-08-19	222.25	Marketplace	Beleza
1672	2013-12-02	136.97	Loja Física	Casa e Decoração
3309	2014-04-01	230.44	Site	Eletrônicos
603	2015-06-19	132.06	App	Beleza
3092	2015-05-26	1333.63	Marketplace	Livros
1055	2015-12-12	1995.9	Loja Física	Esporte
351	2015-07-25	2515.63	Site	Esporte
1872	2013-03-22	1761.56	Loja Física	Vestuário
973	2015-03-27	268.79	App	Beleza
568	2014-08-26	1916.78	Site	Beleza
2915	2015-07-15	27.21	Site	Esporte
3263	2013-10-05	68.06	Loja Física	Vestuário
1591	2014-02-18	447.15	App	Livros
2269	2013-12-02	2211.45	Loja Física	Livros
1580	2015-01-14	438.86	Site	Beleza
1936	2013-03-31	2351.13	Site	Vestuário
3017	2014-01-02	237.67	App	Casa e Decoração
2567	2015-07-03	53.99	Site	Vestuário
20	2014-06-03	16.65	Marketplace	Esporte
2845	2015-10-08	47.11	Marketplace	Beleza
1456	2013-06-12	1883.41	App	Esporte
2193	2014-03-02	336.97	App	Eletrônicos
486	2013-03-08	2067.59	App	Casa e Decoração
3202	2013-04-11	59.4	Site	Livros
952	2013-12-30	2905.62	App	Eletrônicos
309	2014-09-05	117.16	Loja Física	Beleza
2951	2013-05-13	54.53	App	Casa e Decoração
1836	2015-12-11	144.43	Loja Física	Eletrônicos
2009	2015-12-20	296.54	App	Beleza
2130	2014-10-11	100.11	App	Vestuário
2148	2015-10-14	283.87	Marketplace	Vestuário
3084	2014-04-22	368.86	Loja Física	Eletrônicos
92	2013-08-30	229.12	Marketplace	Beleza
164	2014-12-18	302.19	Loja Física	Livros
698	2014-07-31	164.49	App	Esporte
1936	2013-01-13	518.74	Marketplace	Livros
2006	2013-03-01	424.42	App	Livros
1687	2015-08-30	2432.31	Marketplace	Vestuário
2190	2014-11-18	1494.92	Loja Física	Esporte
999	2014-10-09	1754.5	App	Casa e Decoração
221	2013-11-02	985.29	Marketplace	Livros
1858	2013-12-06	92.08	Loja Física	Casa e Decoração
2484	2014-10-07	221.66	Loja Física	Beleza
3065	2015-02-01	152.01	Site	Esporte
1004	2013-08-18	1247.8	Site	Eletrônicos
1565	2013-02-21	2437.27	Site	Vestuário
1163	2015-09-18	227.76	App	Vestuário
2712	2013-07-21	419.96	Site	Vestuário
2545	2015-07-30	1285.25	Loja Física	Eletrônicos
1049	2013-04-01	359.17	Loja Física	Casa e Decoração
1644	2013-04-05	28.92	App	Eletrônicos
2028	2014-10-02	1988.78	Site	Vestuário
956	2015-12-27	116.17	Loja Física	Casa e Decoração
513	2014-07-15	60.9	Loja Física	Vestuário
1889	2014-10-15	103.18	App	Esporte
835	2013-05-26	114.07	Marketplace	Eletrônicos
434	2015-08-23	2729.22	Marketplace	Eletrônicos
280	2015-03-14	78.33	Marketplace	Esporte
1234	2014-11-12	417.85	Loja Física	Beleza
1997	2013-07-10	249.47	Marketplace	Eletrônicos
1601	2015-08-12	261.75	Site	Esporte
872	2015-01-15	135.86	App	Casa e Decoração
1591	2013-03-03	79.41	Marketplace	Beleza
2954	2014-08-02	395.57	Site	Esporte
330	2013-08-08	196.64	App	Esporte
1620	2015-04-27	868.01	Site	Beleza
1353	2014-11-29	783.07	Marketplace	Beleza
1995	2014-12-02	177.02	Loja Física	Livros
3241	2015-09-24	101.45	App	Esporte
321	2015-07-01	129.28	Loja Física	Esporte
349	2015-02-16	118.4	Loja Física	Eletrônicos
752	2013-10-12	2684.33	Loja Física	Vestuário
2307	2015-07-17	1687.52	Marketplace	Vestuário
716	2014-10-11	55.46	App	Beleza
2513	2014-12-07	495.63	Marketplace	Vestuário
2970	2013-05-08	216.15	Loja Física	Eletrônicos
2470	2015-01-06	59.62	Loja Física	Vestuário
1523	2015-03-19	198.81	Marketplace	Beleza
1535	2014-03-09	348.12	Site	Esporte
1354	2015-01-08	256.79	Site	Vestuário
47	2013-02-02	34.44	Marketplace	Vestuário
274	2015-05-02	437.07	Marketplace	Esporte
618	2015-11-10	72.26	Marketplace	Casa e Decoração
775	2015-05-20	193.23	Site	Livros
1768	2015-04-22	2794.38	Loja Física	Eletrônicos
1999	2015-01-25	30.28	Loja Física	Vestuário
2567	2015-12-15	147.78	App	Beleza
1818	2015-12-08	270.28	Marketplace	Livros
2607	2013-06-09	214.7	App	Esporte
194	2014-12-05	290.76	Marketplace	Esporte
3151	2014-11-10	1378.85	App	Casa e Decoração
570	2014-09-15	226.28	Loja Física	Livros
1669	2013-12-13	92.34	App	Livros
2182	2014-08-11	80.44	Loja Física	Casa e Decoração
855	2014-07-30	173.85	Loja Física	Esporte
595	2013-11-06	103.99	Site	Casa e Decoração
2755	2014-04-29	1557.77	Loja Física	Casa e Decoração
